index,answer,prediction
742,кашлянуть,кашлянуть 
743,шнобель, FAUSTYNKA  
744,"фэнтези
флора",  фэнтези флора
745,"дальновидно 16128
перерегистрировать
ветрено крабовидный
одесную Куракова",дальновидно 16128 перерегистрировать ветрено крадовидный oдесную Кyракова
746,"provide моторика
Сунцова остынуть",рrоvide моторика Сунцова остынуть
747,"тетя,"," тетя,   "
748,Жигимонт,*игимонт AW W 5066000606006600660060666 28822828882828282822888 Fhah  229989988 999999999
749,Отто,OTTO
750,"Смагин
неон",Смагин HeOH
751,Скурихин:,  СКурихИн:
752,прогулять,npozy 
753,рушиться,bOA
754,серый),  CL STORIES 
755,62870,62870   
756,"ямина
60677",яMNHА 60677 opusiaeg NOTISOI  RAVINTOARVO/NARNGSYAREI
757,"выковать переадресовать
Бирич целиться(",выковать переадресовать Бирич целиться(
758,"правда
Ведерников",нpaвдa Ведерников
759,melody,
760,дословный,дословный
761,"сакля
Джейн
исцелиться",сакля Джейн исцелиться  
762,"Дедков
Войтюк
Рудко", Дедков Войтюк Рудко
763,фартук,Фарту
764,"сморчок
проветриться
Гаркун
Царикова  ,",сморчок проветриться Фаркун Царикова
765,Мохорева,Мохорева
766,"вуду
Пенязь",BYДY 0 ПЕНЯЗЬ
767,28259.,28259.
768,Даниэль,Даниэль
769,"31783
Кочеткова
мало женьшень",31783 Кочеткова мало женьшень
770,"89126
управляющий
9526630432
рассудить",20 89126 управляющий 9526630432 рассудить
771,"торт
15335",TоPT 15335 
772,пульс,nyu6 Mehog H 
773,"сеанс
Добыш",seans  Добыш …………    ww ~~    …   …     w  M     T M
774,"Романьков позитивизм
гиперборейский",troutman pepe Романьков позитивизм гиперборейский
775,10156,10156
776,Герус,Геpyc 
777,east:,east: 10CTT witre H weaand
778,"Кучур
Ярош",Кyчyp  Ярош
779,"Фоменкова
sail",Фоменкова sail 2
780,"Крутов
зеленка",Крутов 3eленка
781,"Зигфрид:
облисполком",ЗиГФРиД: ОБЛИСПОЛКОМ 00 
782,"Юрка
мимика
Петручик",<a K
783,39472,39472 
784,хана(,xaHa
785,прогуливаться,прогуливаться
786,"Липатов
невидаль
Верка",Липатов невидаль Bepka
787,пружинистый,
788,"доносить
блажь
комиссия",ДОНОСИТЬ блажь КОМИССИЯ 
789,сглотнуть,СГЛОТНУТЬ
790,"бурда пустынный
хлебец",буpда пустынный хлебец 2F
791,нектар,t  нектар
792,"мегатонна Пашка запроситься
Боярчук грандиозно 9415856606",Пашка мegатоннa запроситься Боярчук грандиозно 9415856606
793,"Баев
Сорокин",Баев Сорокин
794,интервенция, иHTeрBеHция
795,"после
дукат.",nocse gykam
796,Захаревская,Захаревская
797,"Зенович
Маринина",3eHOBN4 MаpиниHa
798,"гладильный,
Крохина  !","гладильный, KpoхiHa"
799,"слыть
скушный
Лысая",СЛЫТЬ скушный Лысая  1
800,Мулярчик гормон,Mi Мулярчик гормон
801,"Касьянова
порождение
участница",Касьянова порождение участница 
802,патриотка:,* патриотка:
803,kept,kept
804,"пламя
хутор", нламя xуmop
805,"прель
дождик",A нпеь ДОЖДИК
806,Балин,БАЛИН 
807,соединить,
808,атрибутика,
809,приметить,етить
810,Корж,Корж
811,осатанеть,ocam 
812,"глухой
подновить
дворец",глухой подновить дворец
813,"Сытин.
пикет", Сытин. g 1 nukem      X 
814,выброс,ВЫБРОС
815,менуэт,менуэт 7 
816,9666988713,9666988713
817,92506?,92506?
818,"куличок увядание
made копошиться
уложить назарянин",КУЛИЧОК увядание made : КОпОШИТЬСЯ уложить назарянин
819,"Ведерников
Сапега гадкий
должок", Ведерников Сапега гадкий должок
820,"Портнова
программка
Курлянчик -",Портнова программка Курлянчик
821,"Танька.
Михалкович",ТАНЬКА. МихалкОвич 
822,"суфий
Миронов
Невская
28638
рандеву",cуфий Миронов Heвckaa 28638 рanдeву
823,"сумка Дао
чего-то пусто
Шатохина 53661:",ДАо CYMKA ЧЕГО-ТО ПYCTО ШАТОХИнА 53661: o t0
824,биополе,
825,"директриса
реле",директриса rele  
826,"купон
ласково
холодильный
пращур 50035",купон ласкОВО холодильный npauyp 50035 WiFI
827,"хиппи
хитрый
биотоп",ХИППИ хитрый биотоп
828,"ночка
Бадун",ночка Бадун 7
829,"Казачкова
пастырь
горшочек", Казачкова пастырь горшочек
830,"ботва
атака
братва",ботва aTaka * 6paTBa
831,беспокойство,  6ecn
832,Бушуева,eba Бyшу
833,wall,F
834,Рябый,рябый 0
835,сенник!,сенник!я
836,"10442
неразрывный
Гузь    :","10442 НЕРАЗРЫВНЫЙ ФY3b * * * , * +**+* **** * * * * + * . + *+* * * *  * * * * ** * * 4 * * * * .  * * * * * * "
837,раскупать,Backynamb
838,"Ивашкевич
9506284186",Ивашкевич 9506284186
839,Быков,Ьыков
840,"Сухой  :
вчитаться
Борейко",Cухoй вчитаться Борейко 
841,39218,29278 
842,"80732
Александр",80732 Александр
843,"Пенкина
писулька
скликать",ПeHкиHa писулька скликать 6608 
844,"Уткин
Лойко
жених",УТкин Лойко жених
845,Каравай, авай Kapo 
846,"клокотание
Клинов",клокотание Клинов SOZOCHURG
847,мент,MeHT 
848,"Самохвалов
краевой
пустячок
спекуляция",Самохвалов краевой nустячок cпеkу ЛРНР 
849,"жребий персонал
тождественность","жребий пepconaл тождественность Bakylo"""
850,"17359
таки
видимо:",17359 таки ВИДИМО:
851,"68083
must", 68083 must
852,авария, АВАРИЯ
853,макака,макака
854,"Лугина
кадетский
Мурзилка миномет:",Jyrina кадетский Мyp3илка МинОмеТ:
855,"надумать облик
93945 ожидание
44913
43517 Тюмень",надумать облик 93945 ожидание 44913 43517 Тюмень
856,Строганова,Строганова
857,Земцова,3емцова
858,Эфрос,Эфрос
859,Ракина:,
860,"слайд
67814
84163",слайд 67814 84163
861,"shop
м-да
кисло",shop  m-da PARIS
862,71765,  71765
863,потолковать,LOLA VV LOVES потолковать
864,"меньшинство
затушить",МЕНЫШИНСТВО ЗАТУШИТЬ
865,сакэ,сакэ
866,"теоретически
неприкаянный
Горощеня",теоретически неприкаянный Форощеня 
867,прошмыгнуть, □
868,"подпортить
вообще-то
готовенький",подпорить вообщетто готовенький
869,"татами Михович утолить;
полусвет Мичурина",татами Михович утолить; полусвет Мичурина 
870,"эпицентр
гусиный хищный
каучук
трагический",эnицентp 3yсиный хушний каучук трагический
871,"Севрюк
Вольф
оппортунизм",Севрюк Вольф оппортунизм
872,"Скотт
Цюрих",Ckomm Цюрих
873,"авиатор
Ксения",MCULA asuamop Ксения $
874,"антропный Юркина
Урбан
скинуть",ЮpкуHa антропный YpдaH скинуть
875,"82067 потсдамский апартеид
микробный",82067 потсдамский апартеид микробный
876,"стон
латы",CTOH наты
877,неумирающий книга,книга неумирающий
878,папик,COHM Mypaшkин вымогать
879,"Рогович
прямиком глицин",Рогович прямиком ГНИЦИН 
880,купидон лоскут, КУПИДОН ЛОСКУТ
881,бренд-, 6peHд
882,драконий,драконий 02H
883,"разрежение
отшелушивать", разрежение отшелушивать
884,Федорчук(,STMACOLORS Федорчук 3 0  4
885,gone,gone 
886,"секретер
митрополит",секретер митрополит
887,"Бабкин Пронькина
Галицкая
спинка унимать",Бабкин Пронькина Галицкая спинка унимать
888,уханье,уханье 
889,Хотенко,0 1.11 213   OL X оTеHKо
890,15771, 15771
891,"обойный
крепкий",обойный крепкий
892,19635,19635
893,"жилище
протон
излишек",*улице протон излишек
894,"91940
дожить
Карпина",91940 ДОЖИ Карпина ©
895,посвататься,посвататься
896,"лгать
вьюн",лгать ВЬЮН
897,"двойня
Карп",2 ДВОЙНЯ Кapп
898,"незрелость 68781
Перепечко 94427",68781 94427 незрелость Перепечко
899,каспийский,каспийский 2
900,Грушевич,Грyшевич
901,"бараний
солонина",бараний солонина
902,"меню
стропа",меню стропа
903,"нытье
лживо",HЫТЬЕ ЛЖИВО
904,Якупов,Якупов
905,"парить
прокрадываться;
Закаев
горючий затхлый
край Бударина",парить прокрадываться; Закаев рорючий затхлый край БудариHа 
906,"юрфак единожды
некто недочеловек",юрфак единожды некто недочеловек A
907,"декретный   !
Стахно
9908620145
92421 тяжело
Шведова Яровой",
908,"Казаринова:
заоконный
римский",Казаринова заоконный римский
909,ранее,ranee 
910,Кизина,Ki3ina
911,"пророчески портниха
излучать норка
наличествовать   !",портниха юpka S пророчески излучат налинествова
912,"9081698645 ?
урезонивать",9081698645 ? урезонивать
913,"авиетка
курий",авиетка курий
914,угар,yrap 
915,плут,  плут
916,носорог,HOCOPO2
917,расцветка,DEFEND ROJAVA
918,Султанов,Султанов о 
919,"недоумевающе
обобщенность
новейший",недоумевающе TTE обобщенность  новейший  
920,скак,ckak
921,невнимание облезлый,  облезлый невнимание
922,посредине, посредине
923,"третьестепенный
малодушие",третьестепенный малодушие
924,"труднодоступный Самко
пробивной Милованов
пестик кортик оферта
армянский гефсиманский
похмелье закорки",труднодоступный Самко пробивной Милованов pесtик кортик оферта армянский гефсиманский похмелье закорки
925,"9035471125
43901 прессинг
портрет.",9035471125 43901 прессинг портрет.
926,Басов,Басов
927,"тлеющий
ирония
ковка",тлеющий ИронИя ковка 000
928,"решетчатый
ясный Васин",TOPPICK решетчатый ЯСНЫЙ Васин
929,9068179358,90681 179358
930,"удачливый
нарядчик
дизельный,","удачливый нарядчик дизельный,"
931,"Русинов
шинелька",PyciHOB шинелька K4748  0221
932,вящий,вящИй
933,гугу дожить:, ДОХИТЬ 
934,доля,доля
935,"Смольников
наковырять
завершать",Смольников наковырять завершать
936,богато,богато © 
937,Самбук,CAMBYK
938,Коршун,Коршун 
939,"порог
atom",123RF порог atom 4123R O123RF
940,молочник,МОЛОЧНИК 9
941,"затрапезный
чадо
переброс",затрапезный чадо переброс
942,"9722512974
буфетчица
29453!",9722512974 БYФЕТЧИЦА 29453!  
943,"мякиш
тазик",МЯКИШ тазик
944,9688396820,9688396820 
945,"43165
кругляшок",43165 кругляшок GOR
946,"перечисление балансирование(
коралл",перечисление балансирование( коралл UFSETE LJ
947,"Смолич
Виршич
37489
88463",  7 Смолич БУПШИЧ 37489 88463
948,инсульт?,иHcyJbT? 
949,"санный
85807
падло",санный 85807 надло
950,"герпес
неон",zepnec F . 3VY HEOH
951,"отсек
атом",>< omcek amom UUU
952,"новый
37292
Мосеева)", HOBbЙ 37292 MOCEEBA)
953,"сноб
грудь
Макбет
медаль",снOб рпудь Макбет медаль
954,Алжир?,Алжир? 
955,пластина Мусин 9436106266,Mycin 9436106266 настина 88 19
956,milk,milk
957,"потоптать Акушевич
Гуркова Лысенкова",Акушевич потоптать Фypkoвa JbceHKoBa
958,соус,coyc
959,экипировать,ЭКИПИРОВАТЬ
960,"изваяние Чувашия
родник
Шишлов",Чувашия изваяние родник Шишлов
961,"Русан
пляс",W   Pycan ПЛЯС SmE 3 
962,"панно
Голос",naHHo Фонос
963,Коба?,Коба?
964,"Кушнаренко
9929417045 Беняш
сажать Беленький
недешево    )",Кушнаренко Беняш 9929417045 Беленький сажать недешево 04
965,"участок
немного
неуд",THOR участок немного Hеуд
966,высокомерие,высокомерие
967,выползти,ВЫПОЛЗТИ
968,толкучка,
969,Ксюша,Ксюша  CHAMTRRC
970,"опосля
стропило",ОПОСЛЯ стропило
971,диспозитивный,* 
972,ничей,нучей
973,"Михайловский
Бражников  ?",T. T. 1 Михайловский 0 Бражников ?
974,"Ускова
Глебик", Ускова Флебик
975,"скот
Дзюба
Федосик",ckom Дзюба Федосик
976,означающее,ОЗНАЧАЮЩЕЕ
977,постоять,постоять
978,"молотый
Жирнов -",молотый *урнов
979,"blow
ликующе
34860-", blow ликующе 34860-
980,Рева,Peba
981,вложить,ВЛОЖИТЬ
982,"венец
Жанна",венец Жанна 
983,"кальций ;
подлезть
Остроух :",G кальций подлезть Остроух
984,воспаление,enie 
985,"search
огарок",search огарок 
986,"Трофимов
Чуканов",Трофимов Чуканов
987,Пырх,Пырх
988,граб, рпаб
989,"анонимно
Пырко
мехмат",aHOHNMHO Пырко MexmaT CE PH AUDLDE
990,Тузов,Ty3oB
991,"полимеразный
31447",полимеразный 31447
992,рака,paka 
993,ice,ice 
994,Хилл,. Хилл
995,консистория.,консистория
996,"пензенский
носик Прима",pензенский носик Прима
997,"задышать
улица",задышать улица  
998,"made,","made,"
999,"осевой
пяльцы
маман ;",CENA CDCID 0ES PREPARATION osevой ПЯЛЬЦЫ MamaH
1000,"патрон
Маслюк",патрон Mapno
1001,"купать
Каширина
river", КУПАТЬ Каширина RIVER
1002,"осанна
проезд
доносчик
течение:",ocanna проезд ДОНОСЧИК течение:
1003,"ввергнуть
наводить 78401:
подрядиться",ввергнуть 78401: наводить подрядиться
1004,"искус
Андре",BASYSITTER ИCKYC Андре
1005,"барометр
треугольник
9493531402 Савин",БАРОМЕТР ТРЕУГОЛЬНИК 9493531402 Савин
1006,Брич,Бруч 
1007,"9592642049
политик",9592642049 политик 
1008,расцепить,расцепить
1009,"ондатра  .
отпугивать",ондатра отпугивать
1010,9622122446-,
1011,next?,* X next?
1012,ключик,КЛЮЧИК
1013,"жулье.
Сыса",A жулье. Сыса =
1014,стрит,CT пут TEEDE 1
1015,растащить,растащить
1016,венский,BEHCK
1017,"запечье
антикрыло",запечье антикрыло
1018,"самозванка:
Булахов  ;",самозванка: Булахов H  
1019,кристально,
1020,"кварц
досадный)
47340
угарный",кварц досадный) 47340 угарный
1021,"сенник
колпак",сенник колпак 
1022,"всходить
Буйняков;
штрафовать дама)
9483937293",всходить Буйняков; штрафовать дама) 9483937293 
1023,"9729021193 эвон
отшибить
комнатный",9729021193 ЭБОH отшибить комнатный
1024,рыбалка, рыбалkа UHHE H
1025,"хозяин
печатать",Pal et ХОЗЯИН ПЕЧАТАТЬ
1026,"Стасенко
царевна
фиалковый",Стасенко царевна фиалковый
1027,"святый
вестовой",СВЯТЫЙ вестовой UFP
1028,9217494918,9217494918
1029,Мухаммед,
1030,витиевато,витиевато
1031,"пикник сиплый
забияка
посинение  :",НИКНИК СиПлЫЙ забияка посинение
1032,неуместность,неуместность
1033,юнец,юнец
1034,"Гайфуллина Слинько
корочка обледенение.
hand)
воронежец",Гайфуллина Слинько корочка обледенение. hand) воронежец
1035,95829,95829 1 N X T0 0
1036,патрульный,. патрульный
1037,"лживый
профицит
голь",8090 00 ЛжИВЫЙ профицит ролЬ 20% RO ш 40°5 3 f8
1038,Сущеня,Сущеня
1039,"зыбко
Синило полосочка",3b6KO Синило полосочка
1040,"закрасить
отгул",закрасить отгул
1041,вечно,вечно CODE
1042,"Андрусенко
Кривоносов
вино перешить
научать
Волконский", Андрусенко Кривоносов БУНО перешить научать Волконский
1043,Бурая,Бу pая
1044,Шейбак округа),Шейбак округа) 8
1045,урез,ype3 X o
1046,Тавгень!,Тавгень! 
1047,"жерло
выступ
Лавор
search",жерло Выступ Лавор  search
1048,"Зина
Габидуллина
Листопад",3uHa Габидуллина Листопад
1049,"зябь
зорька",зябь 3opbka
1050,"парусина
had побояться
Шумак 9258456111",nаpусиHa had побояться Шумак 9258456111
1051,слега),слега)
1052,берет,6epeт
1053,degree,degree
1054,десна,
1055,шпиндель,  шпиндель
1056,повариха,повариха 
1057,"Борщев
Ильичева
corn",Борщев Ильичева corn
1058,коровка,коровка
1059,"кривич
ЦСКА",КPИВИЧ ЛЦКА
1060,саспенс лисий;,саспенс ЛИСИЙ
1061,докер,ДОКЕР
1062,"нестерпимый
Диваков
третье",НЕСТЕРПИМЫЙ ДНВАКОВ ТРЕТЬЕ
1063,"впиться by
изгладиться",впиться бу изгладиться 
1064,"нарвать
окаменеть", НАРВАТЬ ОКАМЕНЕТЬ
1065,крепдешиновый, крепдешиновый
1066,93566, 93566
1067,"Борисик
романс",Борисик pomanc
1068,лоцман,лоцман 
1069,настоятельница, 
1070,затекший,затекий
1071,"невзгода
карабин нажатие",невзгода карабин нажатие
1072,"высылать
Рябко
верещать-
31601",ВЫСЫЛАТЬ Рябко ВЕРЕЩАТЬ- 31601
1073,Заяц, 3a9u
1074,Слаута, Слаута
1075,Арашкевич,Арашкевич a
1076,Кандинский,Кандинский
1077,шпора,шпора
1078,Якупова,якупова
1079,газоход, 
1080,"Ленковец
присягать",JeHkoBeц npucяraTь 1e 
1081,Кузин,Ky3NH 0RELL1
1082,Котик,КОТИК
1083,"латаный
подвиг",латаный ПОДВИТ
1084,парировать,ПАРИРОВАТЬ
1085,гигант,ригант
1086,бочка,бочка
1087,9206297626,9206297626
1088,рыть,рть
1089,"сплясать
отправка
карский
Макоед
глупость",сплясать отправка карский Макоеd глупость
1090,обруч,обруч
1091,магнит-,
1092,байка,байка
1093,spoke,1 spoke 
1094,мстить,МСТИТЬ
1095,"Кириллова
лакомка",Кириллова лакомка
1096,Кабак,Кабак
1097,"Качанович(
совковый
Мартынов",Качанович( совковый Мартьнов
1098,Смагин,Смагин  
1099,9413664277,
1100,Торопов,торопов 
1101,Зарипова,3apиnоBa 7
1102,фотон,Фотон 4
1103,писчебумажный,шисчебумажный
1104,Жамойда, Жамойда
1105,Манукян,318 ΛAHY KЯH
1106,стричься, стричься
1107,"нищая
48295;
23915",нищая 48295; 23915
1108,обещать,обещать
1109,прошептать,прошептать 3 4 6 7
1110,"Пушкова Хваль
затейник",Пушкова Хваль затейник
1111,capital,Capit
1112,дебет:,дебет:
1113,блюститель,nel U
1114,"м-м-м Малых
поесть Лысая",BIGEHOT Малых M-M-M Лысая поесть
1115,"штука
свертываться",штука svеrтыvaтьsa
1116,абзац), абзац
1117,корковый,Корковый
1118,"вязание
Мисиюк
денежный
Прокопчук
утверждать",вязание Мисиюк денежный Прокопчук утверждать
1119,Ковзик, Ков3ИК
1120,весь,весь
1121,"журить
вешка",журить вешка
1122,"мирра
изыск(
опий
Савчиц",мирра ИзысК( опий Савчиц
1123,"юрский
станок
отняться
киббуц
Панов-",8 2 юрский станок отняться киббуц Панов-
1124,88872,m42 41 52 50 56 4 88872 © #=  K 1EERO 23160
1125,"прибегнуть иезуит
9704990566!
пересдача отчего",прибегнуть иезуит 9704990566! пересдача отчего
1126,информагентство,информагентство
1127,Ионов, ИОHOВ 
1128,"полоса
пята
Балтика
навстречу",нолоса пята  Балтика навстречу
1129,отметелить, отметелить
1130,"Жучкова
Имаев
попадание",*учковa Имаев попадание
1131,Супрон,6 CynpoH
1132,высыпать,
1133,Дорошевич,Дорошевич 
1134,"приезжать
эвристика
отмывать",приеажать эвристика отмbBать
1135,"чаяние
Горох",чаяние Горох  
1136,"Лыков Лыщик
Веселовская",ЛЬKOв Л бЛук Veselovskaa
1137,Пьер,Пьер 8
1138,Сокол,Cokos  
1139,тромб,тромб
1140,dead,dead 
1141,"подотчетный
Поляк 9469519182
обзванивать",подотчетный Поляк 9469519182 обзванивать
1142,"Пархута
худо
Шевелев
блуза",Пархута xydo Шевелев блуза 
1143,"Куделко
Харламов
скупать",Куделко Харламов скупать
1144,налитой,налитой
1145,road, road * A
1146,цветность,цВЕТнОсть
1147,Гаева,Гаева 
1148,направляться,направляться
1149,"Стогов
макушка купе)",Стогов макушка купе) 
1150,фотонный,ботонный
1151,душно,
1152,"свинский Золотова
раскоп вделать;",свинский й Золотова раскоп еделать;
1153,Митина, *** SCOOWDOO OV
1154,"плейер
Синцов,
48944
старец
спайка!","плейер Синцов, 48944 старец спайка!"
1155,"покормить
умилить
Плеханов",покормить умилить Плеханов  0 4 
1156,румба,X * 
1157,"дензнак
махонький
приводить",ДЕНЗНАК МАХОНЬКИЙ ПРИВОДИТЬ
1158,"Рагель
горгона", Рагель рогона
1159,како,Cako
1160,Алешина,Алешина  
1161,подо,подо
1162,"отчужденность
также
обеднить",отчужденность 111 также обеднить  h  HuF  T   T     F  
1163,"непрочно немного
двенадцатый",непрочно немного двенадцатый 0
1164,"Рубцов
knew",Pyduoв knew DEH pрере
1165,"должность
въедливо",должность въедливо 
1166,"ужасающе.
sister",ужасающе sister   
1167,лития,П
1168,"аббат
43901",0 a66aT 43901
1169,пенка,неHка :1S
1170,водоканал,
1171,"брага
пласт", 6paгa nacm
1172,"ценз Рогожина
ОРТ захрапеть",цеH3 Рогожина OPT захрапеть 
1173,ай-ай-ай,АЙ-АЙ-АЙ
1174,"низкий
кожанка
Бикбаев",HUЗKИЙ кожанка Бикбаев
1175,арат,apaT
1176,Ивасенко,
1177,сталинский(,сталинский( 
1178,упрямо,.... .... упрямо .. ..
1179,налипать,
1180,буерак, 6yepak
1181,"роялти
Кураш
трасса",роялти Кypam тpаcca
1182,погубить,рогубить
1183,клеш,Gng клеш Ah
1184,североамериканский?,DGAS 100 f
1185,80837,80837
1186,"болотце
Луговская",болотце Луговская 
1187,"9135724019
напялить
ампула",9135724019 напялить ампула
1188,"кость,",КОСТЬ
1189,"родные
неготовность",родные неготовность
1190,"клекот
шейк",клекот шейк 
1191,"Кривой квадратический
отток главнокомандующий перетряска
52430 башка",Кривой квадратический главнокомандующий ommok перетряска 52430 башка
1192,"подкрутить
Телятников
Шкловский",подкрутить Телятников ШкЛовский
1193,"сетовать монашка
Водопьянов
невежда",сетовать монашка  Водопьянов невежда
1194,"Макуха
поклон",Макуха ПОКЛОН
1195,"веско?
стенной
road",Becko? стенной road
1196,"неустроенный!
стрекот
парагвайский",НЕУСТРОЕННЫЙ! СТРЕКОТ ПАРАГВАЙСКИЙ
1197,"интригующе
палуба slow,","ИHTPИTYOЩE ПАЛУБА SLOW,"
1198,намек, HаMeK
1199,"переживаться
числить",  U *e переживаться ЧисЛитЬ
1200,"расклевать
показывать",расклевать покавывать
1201,Круглов,Annie
1202,"наперерез 60093
желудочек 16267?
шеф-повар",наперерез 60093 * елудочек 16267? шеф-повар 
1203,"мышь навзрыд;
побеспокоиться",  МЫШЬ навзрыд; побеспокоиться
1204,формализованный, Leader.ir
1205,ring,ring
1206,Иоффе,ИОФФЕ CO
1207,60712,60712
1208,9052843610,
1209,"great
облысеть
тащить",great облысеть тащить
1210,преломиться,
1211,"трансформаторный
Афродита собирательный
Волохова",трансформаторный Афродига собирательный Волохова
1212,"депопуляция
козлы сверхзадача",депопуляция козлы сверхзадача
1213,"буквенный
патогенность",БYКВЕННЫЙ ПАТОГЕННОСТЬ
1214,95111,95177 
1215,"глупец
Дедуль)", глупец Дедуль)
1216,"резак
chair",pe3ak chair
1217,90407, 0407
1218,Лепешкина,Лепешкина
1219,"гаусс
Кригер",рaycc Кригер
1220,Санько,Санько
1221,"Евтеева
искусить",Евтеева ИСКУСИТЬ 
1222,Корсун?, Корсун? PARENTAL ALVISORY IRPUICIT CRNTENT 0
1223,"Ковшик доколе.
халва Малецкая
Костеневич",Ковшик доколе. Малецкая халва Костеневич 
1224,"капонир
рехнуться Ивасенко Сомов женка",капонир pexnu ться Ивасенко Сомов жен.
1225,Дубров:,Дубров
1226,сочный, СOЧный
1227,"замотанный халат
переплести
невыдуманный
смеховой
подмастерье",замотанный халат переплести невыдуманный смеховой подмастерье 
1228,"Давидчик
Павлючик
затаенный",Давидчик Павлючик затаенный EYS wleetla
1229,"кокошник
очный",КОКОШНИК ОЧНЫй 
1230,"84406
Андрюша
скептицизм",84406 АHДPЮША СКЕПТИЦИЗМ
1231,"Нейман:
Косов
19749",Нейман: KoсoB 19749  
1232,"Нуриева
Черкес
Мазюк
чайхана",Нypieва Черкес Мазюк чайхана
1233,"вольера скушный
литой великорусский
наравне исполниться",вольера скушный литой veliкорусский наравне исполниться
1234,проговориться,
1235,Лас-Вегас,Lаs-Beгас
1236,"загнивание Немец
клейстер 9181272780
напыление купальня.",Heмeц загнивание клейстер 9181272780 напыление купальня. 
1237,62337,62337
1238,"Бабак
пава",БАБАК ПАВА
1239,одевание,n одеванне
1240,манго,1 6 
1241,"перекатываться
Зубов баранина",перекатываться 3y6oB бapанинa
1242,22951., Squd 22951.
1243,"Шелков
Таркан", ШеΛKOB аpkaH
1244,Скоморох,
1245,"устало
62337
ишачить",YCТАЛO 62337 ИШАЧИТЬ
1246,"против немножко
юго-западный
вымывать
Хромовских",против неMножко юго-западный BbMbBaTb Хромовских
1247,ахти,  axmu 
1248,"жинка
цена,
Русак","+ 0 *уHкa цена, Pycak"
1249,"9715948417
Рублевская",9715948417 Рублевская
1250,индоссамент,идоссамент ПОЛИЦИЯ *
1251,"заслышать
сброситься",заслышать сброситься  ** ** * Cc  SOTRE N
1252,декламировать, O МиРОВаТЬ
1253,пластит,настит
1254,"метанол каре
вытащить
напрягать",метанол каре вытащить напрягать C5 Kinder SRAE
1255,Плевако,Пневако
1256,точечный,точечный 
1257,"погружаться
Комаровский
спасский
Малишевская
молодить",погружаться Комаровский спасский Малишевская молодить
1258,атлет, тлет
1259,"кондор
кушетка",кондор кушетка
1260,унтер,yHтеp
1261,52165,00  112 0 52165
1262,"достопамятный
немаленький
имплантация:
отираться
сарафанчик",достопамятный немаленький имплантация: отираться сарафанчик 2
1263,рамка,
1264,отсохнуть,отсохнуть
1265,send,8 send
1266,Лапиков,Лапиков
1267,иди-ка перевозчик,идинкаперевозчик
1268,межсезонье,межсезонье
1269,сепсис,сепсис
1270,"примитивизм
аут замертво",примитивизм aym замертво 
1271,"Лобкова липосакция
низинка чубук
критический речушка",Лобкова липосакция чу6ук низинка критический речушка
1272,Горяйнов,Горяйнов
1273,Донской,  Донской
1274,опасть,опасть
1275,градостроитель, 
1276,96686,96686
1277,soil,   *  soil
1278,Мосейчук,Мосейчук 
1279,"Шпет
обнять .
трепать",Шпет обнять трепать 
1280,апостол,аностол
1281,"Бойкова
дензнак",Бойкова ден3нак D
1282,"Брылев
Ахмедов",Брылев СшмеДов
1283,"задачник
подшефный плаха",задачник подшефный нлаха
1284,ВГИК, БГИК
1285,Браим, БРАИМ
1286,красногвардейский,ейский красногва
1287,щавель,щавель
1288,Сущик,Cywuk
1289,"панк мелкий
весенний",панк меlкий vesenniy  4L1E
1290,тренажер эмоция,тренажер эмоция
1291,"Баева
52471",Баева 52471
1292,"благолепие легавый
скамья Радько",благолепие легавый скамья Радько ©
1293,Кошко:,Кошко:
1294,освежать анфас:,освежать анфас:
1295,"захват
кросс.
Пожарский
оффшор",захват KPOCC. Пожарский оффшор
1296,утечка-,утечка-
1297,"заделаться Шихова
освободить плафон",заделаться освободить плафон Шихова
1298,"воронка
сколько",воpоHка CKOЛЬКO 
1299,подпорка,
1300,"пристанционный
самоизоляция",пристанционный самоизоляция
1301,требовать,
1302,оглашать,ОГЛАШАТЬ
1303,"незнание
стирка
фонтанный
Башаримова
Сачук",незнание стирка фонтанный Башаримова Сачук
1304,"фитиль!
Ковязин
здеся",  1  Фитиль Ковязи здеся
1305,stay, stay SO
1306,"могущественный
грот кровно
филькин
измучиться",могущественный грот кровно филькин измучиться
1307,"замелькать-
вшестером",замелькать- вшестером 
1308,"71434
Батищев
стереть
клеврет
Шумилин",71434 Батищев стереть клеврет Шумилин
1309,"шмотье
Осетров",   шмотье Osetroв
1310,"относиться
воздыхание",относиться воздыхание
1311,"дурной
тетеря",дурной тетеря  
1312,74932,74932
1313,Башилова,Башилова 15. 16.
1314,туды заволноваться,туды заволноваться *
1315,"Дронь
низкий,", Дронь HИ3KM
1316,биополимер,  биополимер
1317,"спечься
Чебан
block",спечься Чебан block 
1318,Напалкова,нагалкова 
1319,"Дятел горенка
Сурикова Олеся",Дятел роренка Сурикова a Олеся
1320,Мохов,Мохов 
1321,"Петухов пробежка
лесопарк Валуев",Петухов пробежка Валуев leсoпarк
1322,"Мартынович
тьфу чудачество
Митрохин
космы уценка Банщиков",Мартынович тьфу чудачество Митрохин Банщиков KОСМЫ уценка
1323,эльф,эльф 
1324,Колыма, Кольма
1325,"лишек (
вплоть",лишек ВПЛОТЬ
1326,"Чечеткин
Мыльникова",Чечеткин Мыльникова 
1327,9474425398,94744253 
1328,убывать,убывать
